District,drought_in_district,desinventar,news_articles
ABIM,True,True,True
ADJUMANI,True,False,True
AGAGO,False,False,False
ALEBTONG,True,False,True
AMOLATAR,True,True,False
AMUDAT,True,True,True
AMURIA,True,True,False
AMURU,True,False,True
APAC,True,False,True
ARUA,True,True,True
BUDAKA,True,True,False
BUDUDA,False,False,False
BUGIRI,False,False,False
BUHWEJU,False,False,False
BUIKWE,False,False,False
BUKEDEA,True,True,False
BUKOMANSIMBI,True,True,False
BUKWO,True,True,True
BULAMBULI,True,True,False
BULIISA,False,False,False
BUNDIBUGYO,True,False,True
BUNYANGABU,False,False,False
BUSHENYI,True,True,True
BUSIA,True,True,False
BUTALEJA,False,False,False
BUTAMBALA,False,False,False
BUTEBO,False,False,False
BUVUMA,True,True,False
BUYENDE,False,False,False
Baringo,True,True,False
Bomet,False,False,False
Bungoma,True,True,False
Busia,True,True,False
DOKOLO,True,True,True
Elgeyo-Marakwet,False,False,False
Embu,True,True,False
GOMBA,True,True,False
GULU,True,False,True
Garissa,True,True,False
HOIMA,False,False,False
Homa Bay,False,False,False
IBANDA,True,True,False
IGANGA,True,False,True
ISINGIRO,True,True,True
Isiolo,True,True,False
JINJA,True,True,True
KAABONG,True,True,False
KABALE,True,False,True
KABAROLE,True,False,True
KABERAMAIDO,True,False,True
KAGADI,False,False,False
KAKUMIRO,False,False,False
KALANGALA,False,False,False
KALIRO,False,False,False
KALUNGU,True,True,False
KAMPALA,True,False,True
KAMULI,False,False,False
KAMWENGE,False,False,False
KANUNGU,False,False,False
KAPCHORWA,False,False,False
KASESE,True,True,True
KATAKWI,True,True,True
KAYUNGA,True,True,True
KIBAALE,True,True,False
KIBOGA,True,True,False
KIBUKU,False,False,False
KIRUHURA,True,True,True
KIRYANDONGO,False,False,False
KISORO,False,False,False
KITGUM,True,True,False
KOBOKO,True,True,False
KOLE,False,False,False
KOTIDO,True,True,True
KUMI,True,True,True
KWEEN,False,False,False
KYANKWANZI,True,False,True
KYEGEGWA,False,False,False
KYENJOJO,True,False,True
KYOTARA,False,False,False
Kajiado,True,True,False
Kakamega,True,True,False
Kericho,False,False,False
Kiambu,True,True,False
Kilifi,True,True,False
Kirinyaga,True,True,False
Kisii,True,True,False
Kisumu,True,True,False
Kitui,True,True,False
Kwale,True,True,False
LAMWO,True,True,True
LIRA,True,True,True
LUUKA,True,False,True
LUWERO,True,False,True
LWENGO,True,True,False
LYANTONDE,True,True,False
Laikipia,True,True,False
Lamu,True,True,False
MANAFWA,False,False,False
MARACHA,True,True,False
MASAKA,True,True,True
MASINDI,True,True,False
MAYUGE,True,True,False
MBALE,False,False,False
MBARARA,True,True,False
MITOOMA,True,False,True
MITYANA,True,True,False
MOROTO,True,True,False
MOYO,True,True,True
MPIGI,True,False,True
MUBENDE,True,True,False
MUKONO,True,True,False
Machakos,True,True,False
Makueni,True,True,False
Mandera,True,True,False
Marsabit,True,True,False
Meru,True,True,False
Migori,True,True,False
Mombasa,True,True,False
Murang'a,False,False,False
NAKAPIRIPIRIT,True,True,True
NAKASEKE,True,True,True
NAKASONGOLA,True,True,True
NAMAYINGO,False,False,False
NAMISINDWA,False,False,False
NAMUTUMBA,True,False,True
NAPAK,True,True,True
NEBBI,True,True,True
NGORA,False,False,False
NTOROKO,True,False,True
NTUNGAMO,True,True,True
NWOYA,False,False,False
Nairobi,True,True,False
Nakuru,True,True,False
Nandi,False,False,False
Narok,True,True,False
Nyamira,True,True,False
Nyandarua,True,True,False
Nyeri,True,True,False
OMORO,True,False,True
OTUKE,True,True,False
OYAM,False,False,False
PADER,True,True,True
PAKWACH,False,False,False
PALLISA,True,True,True
RAKAI,True,True,False
RUBANDA,False,False,False
RUBIRIZI,False,False,False
RUKIGA,False,False,False
RUKUNGIRI,False,False,False
SERERE,True,True,True
SHEEMA,False,False,False
SIRONKO,True,False,True
SOROTI,True,True,True
SSEMBABULE,True,True,True
Samburu,True,True,False
Siaya,True,True,False
TORORO,True,True,False
Taita Taveta,False,False,False
Tana River,False,False,False
Tharaka-Nithi,True,True,False
Trans Nzoia,False,False,False
Turkana,True,True,False
Uasin Gishu,False,False,False
Vihiga,True,True,False
WAKISO,True,False,True
Wajir,True,True,False
West Pokot,True,True,False
YUMBE,True,True,False
ZOMBO,True,True,False
